"альбом ","название песни","текст"
"Пыльная быль, 1994","Санкт-Петербургское небо","Комната окна на площадь
Рваные флаги по ветру
Женщина в доме напротив
Сжигает нетленные письма
А над ее головою
Санкт-Петербургское небо

Лестница десять пролетов
Каждый изучен до боли
Трамваи забиты людьми,
Но я не чувствую локтя
Я еду в облачный край,
К санкт-Петербургскому небу

Дай хоть немного свободы
Птицам парящим в прицеле
Им некуда будет лететь,
Если ты рухнешь на город

Здравствуй, осенняя площадь;
Пусть мой этаж не последний - 
Скоро я буду с тобой,
Мое Санкт-Петербургское небо"
"Пыльная быль, 1994","Звери","Ни окна, ни пролета, ни двери -
Только черная мертвая ночь
В ней, забыв о грядущям, спят усталые звери,
Отовсюду ушедшие прочь

Им не хочется думать о прошлом,
В этом прошлом так много смертей,
В этом прошлом прохлада клеток острожных,
И мелодии ржавых цепей

Им не хочется знать, где их корни,
Их надежда вдали от беды,
Их свобода все время уходить от погони,
На бегу заметая следы

Звери смотрят в печальное небо,
Все пытаясь узреть неба край,
И на ужин у них ломтик черствого хлеба,
Да подернутый тиною чай

Расскажи мне о чем твое горе,
Я приму твою боль как свою,
Жаль, что все остальные разбежались по норам,
Нас оставив на самом краю

Спой мне песню про крест и про купол,
Про надежду и веру всех вер,
А любовь - это клетка, я опять загнан в угол,
Как беспомощный раненый зверь

И ни окна, ни пролета, ни двери"
"Пыльная быль, 1994","Рыба без трусов","А по морям, да по волнам
Сегодня - здесь, а завтра - там
Я целый день плескаюсь в море
Голой жопой к рыбакам
Дурдома нет без дураков,
Рыбалки нет рыбаков,
А я рыба, а я рыба, а я рыба без трусов

Па-рано-рано поутру
Я корчу рожу осетру
Его подруга всю неделю
Мечет красную икру
И у меня полно врагов
Среди пузатых осетров
А я рыба, а я рыба, а я рыба без трусов

А я плыву, куда хочу
И я пою, я не молчу
И шар земной не сам кружится -
Это я его верчу,
Пускай волнуются моря,
Покуда вертится земля,
Я выплываю на поверхность,
И вижу мачту корабля

А я рыба без трусов, а я рыба без трусов,
А я рыба, а я рыба, а я рыба без трусов
Пускай волнуются моря,
Покуда вертится земля,
Я выплываю на поверхность,
И вижу мачту корабля

А на борту сидит пират,
Он курит крепкий самосад*
Он и начальник контрразведки,
И народный депутат
Он может все, чего не можем мы,
Пред ним трепещут все умы,
Он может росчерком пера в июле вызвать
Наступление зимы
Спасет он кума от кумы,
Отдаст бомжу свои штаны,
И невиновного отпустит,
Если надо, из тюрьмы**

Порой мне кажется, что я -
Обыкновенная свинья
Обыкновенная морская полосатая свинья
Меня позволено пинать,
Меня позволено сожрать,
Но перед этим, перед этим
Ты сумей меня поймать

А я рыба без трусов, а я рыба без трусов,
А я рыба, а я рыба, а я рыба без трусов
А по морям, да по волнам,
Сегодня - здесь, а завтра - там
А я рыба, а я рыба, а я рыба трам-пам-пам!
"
"Коллекционер оружия,  1996","Будь моей тенью","В эту ночь дивным цветом распустится папоротник
В эту ночь домовые вернутся домой
Тучи с севера, ветер с запада,
Значит скоро колдунья махнет мне рукой

Я живу в ожидании чуда как маузер в кобуре
Словно я паук в паутине, словно дерево в пустыне,
Словно черная лиса в норе 
Холодно мне в горнице,
Двери не откроются,
Ключи у рака, а рак на горе 

Я бежал сквозь подзорные трубы
От испуганных глаз детей
Я хотел переспать с русалкой,
Но не знал, как быть с ней
Я хотел обернуться трамваем
И въехать в твое окно
Ветер дует с окраин,
Нам уже все равно
Ветер дует с окраин,
А нам все равно 

Будь моей тенью, скрипучей ступенью,
Цветным воскресеньем, грибным дождем
Будь моим богом, березовым соком,
Электрическим током, кривым ружьем
Я был свидетель тому, что ты - ветер,
Ты дуешь в лицо мне, а я смеюсь 
Я не хочу расставаться с тобою
Без боя, покуда тебе я снюсь -
Будь моей тенью

Хорошо танцевать на углях,
C тем, с кого как с сосны смола,
Хорошо поливать молоком
Юные тела
Хорошо обернуться трамваем
И въехать в твое окно
Ветер дует с окраин,
Нам уже все равно
Ветер дует с окраин,
А нам все равно "
"Коллекционер оружия,  1996","Любовь идёт по проводам","Завтра на этом месте меня собьет автомобиль
Телеграф уносит мой голос в сторону за тысячу миль
Электричество - ерунда на постном масле,
Вот - ноль, вот - фаза, и все огни погасли,
Мы лежим втроем - я и две сестры,
Я хотел их завести, из них не вышибить искры
Я нашел, где плюс, нашел, где минус,
Если я не полюблю, то вероятно я двинусь,
Я открыл букварь, читаю по складам -
Не верьте никому, любовь идет по проводам

Я люблю людей - люблю, когда их нет,
Я бы вышел на балкон и разрядил бы пистолет
Но отлил ли кто серебряные пули,
Чтобы все уста сомкнулись в бесконечном поцелуе?
Я глотнул воды, совсем охрип,
Я иду по коридору, мне навстречу царь Эдип
У него нет глаз, на нем нет лица,
Он трахнул свою мать и завалил отца

Но чтобы очутиться у любви в плену,
Достаточно настроиться на нужную волну
Любовь есть здесь, любовь есть там,
Любовь звенит ключами к любым замкам,
Любовь идет по проводам

Жил один мудрец, теперь его нет,
Он вернулся из Китая и зажег на кухне свет
И к нему пришла соседка, якобы за солью,
А сама сняла трусы и показала, где ей больно
И мудрец сошел с ума, набрал 01,
И по вызову явился незнакомый господин
И господин сошел с ума, набрал 01,
И по вызову явился незнакомый господин
И господин сошел с ума, набрал 01,
И по вызову явился незнакомый господин,
И господин сказал, ударив в барабан:
""Любовь идет по трубам, откройте кран,
Любовь идет по трубам, откройте кран,
Откройте кран и ложитесь на диван,
Любовь идет по трубам, откройте кран
Любовь идет по проводам

Любовь есть здесь, любовь есть там,
Любовь звенит ключами к любым замкам
Любовь идет по проводам

Любовь есть здесь, любовь есть там,
Любовь звенит ключами к любым замкам
Любовь звенит ключами к любым сердцам
Откройте кран и ложитесь на диван
Любовь идет по проводам
Любовь идет по проводам
Любовь идет, идет, идет
Любовь идет по проводам"
"Коллекционер оружия,  1996","Чёрный цвет солнца","Все круги разойдутся,
И город окутает тьма
Двадцать лет я смотрю в календарь,
И все эти годы в календаре зима
И метель не дает нам уснуть,
Не дает нам допеть до конца
Словно паралитическим газом
Наполнены наши сердца

У нее было правило - не доверять тем,
Кто собой заслоняет свет
И я снял с нее платье,
А под платьем бронежилет
Когда кончится музыка,
Возьми пистолет и жди крика совы,
Я приду умереть от любви,
Чтобы утром проснуться живым

Если ты слышишь, если ты слышишь меня,
Время вышло, а я не успел показать тебе
Черный цвет солнца
Лето ушло и уже никогда не вернется
Осень, хлебни ядовитой воды из колодца,
Зима будет долгой, но все обойдется,
Черный цвет солнца
Кто нас заметит? Кто улыбнется?
Кто нам подарит рассвет?
Черный цвет солнца ...

На вокзале так трудно поверить
В то, что где-то идут поезда
Кто-то поднял глаза на меня -
И из глаз покатилась звезда
Разделенные линией жизни,
Мы смотрим и видим сквозь сон,
Нехорошие вести несет нам домой почтальон

И шаги его гулко звучат
В коридорах сплошной темноты
В отпечатках следов его
Растут полевые цветы
Он идет открыть тебе тайну -
Заметь, как в глазах меркнет мир -
Что все эти годы мы пили этиловый спирт

Если ты слышишь, если ты слышишь меня,
Время вышло, а я не успел показать тебе
Черный цвет солнца
Лето ушло и уже никогда не вернется
Осень, хлебни ядовитой воды из колодца,
Зима будет долгой, но все обойдется,
Черный цвет солнца
Кто нас заметит? Кто улыбнется?
Кто нам подарит рассвет?
Черный цвет солнца ...

Ты можешь назвать эту песню
Набором бессмысленных фраз,
Ты можешь заставить меня молчать,
Сказав, что это приказ,
Ты можешь разбить зеркала,
Которые помнят, но лгут,
А я знаю только одно,
Я знаю - все реки текут
Сквозь черный цвет солнца"
"Коллекционер оружия,  1996","Самовар","Горячий самовар, медовые ковриги
Она сожгла дрова и принялась за книги
Она не знала, кто топил ее в реке -
Одна рука в крови, другая в молоке
И яблоневый цвет в кудрявых волосах,
Ногами на земле, главою в небесах

Я говорил с тобой до самого рассвета
Но твой открытый рот - как дуло пистолета
И я не знаю, кто топил тебя в реке -
Одна рука в крови, другая в молоке
И яблоневый цвет в кудрявых волосах,
Ногами на земле, главою в небесах

Я покажу тебе полет аэроплана
Я нарисую паука на дне стакана
На дне стакана мухи плавятся от браги
И бродят танки по мелованной бумаге
Я расскажу тебе, как пчелы строят соты,
Я научу тебя стрелять из пулемета
И ты услышишь, прикоснувшись к полюсам,
Как гибнут наши голоса

Дремучие леса, волшебные поляны
Черничные кусты зализывают раны
Но в крике стрекозы, в глазу у муравья
Есть место для тебя, есть место для меня
И яблоня взойдет, оставив нам дары,
С условием забыть все правила игры

Я до сих пор не знаю, эльф ты или гоблин,
Я знаю, опыт твой годами был накоплен
Тебе известно, как над замком реют флаги
И бродят танки по мелованной бумаге
Так расскажи же мне, как пчелы строят дзоты,
И прострели меня насквозь из пулемета
И я услышу, прикоснувшись к полюсам,
Как гибнут наши голоса"
"Коллекционер оружия,  1996","Жертва талого льда","Он пел, и строка его текла
Печально, как черная река
Звеня, рассыпались зеркала
На лица и блики
И время качало головой
Летая задумчивой совой
Над тем, кто нашел какой-то свой
Путь в мудрые книги
Огонь обжигал его уста
Гитары сухая береста
Пылала, и в запахе костра
Мне слышались крики ...

А ночь плавно уходила в степь
С ней вместе уходила его тень
Он сам отпустил ее - затем,
Чтоб рук не вязала
Слеза ожерелья янтаря
Сверкала при свете фонаря,
Как будто заря всходила для
Притихшего зала

Он пел, словно падала слеза,
Он пел, словно шаг, и нет следа,
Он пел, что никого и никогда
Река не держала

Жертва талого льда ...

Движенье от братства до родства
В преддверье Христова Рождества
Цветы и руины торжества
В декабрьской стуже
И ноты сошлись в один узор
И в полночь явился дирижер
И все мы обратили ему взор
И стали послушны

Он пел - мы молились на него,
Он пел - мы плевали на него,
Он пел, и мы не знали никого,
Кто был его лучше

Жертва талого льда ...

Сними пальцы с проводов и струн,
Все песни расходятся к утру,
Строка отлетает на ветру
И меркнет в рассвете
Тела, заплетенные в любви,
Сорта драгоценнейших из вин
Крестил сероглазый херувим
Ударами плети

Эй, вы, задержите Новый год,
Часам указав обратный ход
Он спел, спрыгнул с берега на лед
И стал незаметен ..."
"Коллекционер оружия,  1996","Что ты будешь делать","Никто не сделает шаг, не вспомнит, не заплачет
Она сидит у окна, и просит об удаче
Она как солнца свет, ей девятнадцать лет,
Кругом глухие стены
А в ней сошлись змея и волк,
И между ними то любовь, а то измена

Я был один в эти дни, я мерял их на годы
И в одночасье сгорел любимый мною город
Но тут вошла она, я спутал имена
И стал белее мела
Война со всех сторон, а я опять влюблен,
Что ты будешь делать?

Что будешь делать ты, когда в твоей груди
Застучит часовая бомба?
И я звоню тебе домой для того, чтобы узнать,
Что тебя нет дома

Перепиши свою жизнь на чистые страницы,
И ты увидишь, что любовь не ведает границ
Последняя звезда упала в провода,
И снег белее мела
Война со всех сторон, а я опять влюблен,
Что ты будешь делать?

Что будешь делать ты, когда в твоей груди
Застучит часовая бомба?
И я звоню тебе домой для того, чтобы узнать,
Что тебя нет дома

Никто не сделает шаг, не вспомнит, не заплачет
Она сидит у окна, и просит об удаче
Она как солнца свет, ей девятнадцать лет,
И снег белее мела
Война со всех сторон, а я опять влюблен,
Что ты будешь делать?"
"Коллекционер оружия,  1996","Рыба без трусов","А по морям, да по волнам
Сегодня - здесь, а завтра - там
Я целый день плескаюсь в море
Голой жопой к рыбакам
Дурдома нет без дураков,
Рыбалки нет рыбаков,
А я рыба, а я рыба, а я рыба без трусов

Па-рано-рано поутру
Я корчу рожу осетру
Его подруга всю неделю
Мечет красную икру
И у меня полно врагов
Среди пузатых осетров
А я рыба, а я рыба, а я рыба без трусов

А я плыву, куда хочу
И я пою, я не молчу
И шар земной не сам кружится -
Это я его верчу,
Пускай волнуются моря,
Покуда вертится земля,
Я выплываю на поверхность,
И вижу мачту корабля

А я рыба без трусов, а я рыба без трусов,
А я рыба, а я рыба, а я рыба без трусов
Пускай волнуются моря,
Покуда вертится земля,
Я выплываю на поверхность,
И вижу мачту корабля

А на борту сидит пират,
Он курит крепкий самосад*
Он и начальник контрразведки,
И народный депутат
Он может все, чего не можем мы,
Пред ним трепещут все умы,
Он может росчерком пера в июле вызвать
Наступление зимы
Спасет он кума от кумы,
Отдаст бомжу свои штаны,
И невиновного отпустит,
Если надо, из тюрьмы**

Порой мне кажется, что я -
Обыкновенная свинья
Обыкновенная морская полосатая свинья
Меня позволено пинать,
Меня позволено сожрать,
Но перед этим, перед этим
Ты сумей меня поймать

А я рыба без трусов, а я рыба без трусов,
А я рыба, а я рыба, а я рыба без трусов
А по морям, да по волнам,
Сегодня - здесь, а завтра - там
А я рыба, а я рыба, а я рыба трам-пам-пам!
"
"Коллекционер оружия,  1996","Сказка","Мы шли дорогой горемык искать свою судьбу
В одной деревне на ночлег старик пустил в избу
Мы пили крепкий самогон - хозяин был к нам добр
Река бежала за окном, шумел сосновый бор

Я пью чуть больше чем могу, но меньше, чем хочу
Когда я пью, я не пою - я не пою, кричу
Hикто мне глотку не заткнет, не запретит мой пляс
Hо тут старик сказал: ""Дай я"" и начал свой рассказ

Иван был сказочно богат но не имел детей
Иван накрыл дубовый стол и пригласил гостей
Он переспал с одной вдовой - вдова сказала: ""Жди
Теперь зима, я разрешусь когда пойдут дожди""

Иван счастливый захрапел, как красноармейский полк
Он крепко спал, когда во сне ему явился волк
Волк молвил: ""Если хочешь дочь - брось голову в огонь,
Захочешь сына - так отдай мне правую ладонь
Hе будь упрямым как осел, будь чистым как слеза,
Hо знай - захочешь обмануть - вдова родит козла""

Сказав все это, волк исчез, Иван открыл глаза -
Вдова лежала на боку, поглаживая зад,
Иван напялил на себя ботинки и трусы,
Запряг трех быстрых вороных и кони понесли

Иван скакал четыре дня к кудыкиной горе
Там на горе жил друг Макар - весь в злате, серебре
Макар служил городовым и пропивал навар
Узнав о Ваниной беде, сказал: ""Споймаем тварь""

Они расставили капканы вдоль лесных дорог
Попались лев, сова и заяц, но не попался волк
Друзья надыбали жратвы и ринулись в леса
Пока гонялись за волками - кончилась весна

Иван все лето пил вино, гуляя вдоль болот
Вдова сидела у окна и гладила живот
Однажды августовским днем, заслыша Ванин крик
Вдова схватила керосин и подожгла тростник

То был как есть условный знак - заполыхал пожар
Еще не наступил сентябрь, как прискакал Макар
Макар раздвинул камыши и глянул сквозь огонь
А там Иван без головы и где его ладонь

Макар ругнулся : ""е-мое"", но тихо, не со зла
Вдова не дождалась дождей и родила козла

С тех пор прошло двенадцать лет, Макар за взятки сел
Козла пустили в огород, и козлик окосел
Иван схоронен у болот - там тихо, ни души
И из груди его растут цветные камыши*

Старик закончил, тихо встал, открыл нам сеновал
Друзья заснули сей же час и только я не спал
Я думал, глядя на луну, что стало со вдовой
Всю ночь сквозь храп моих друзей я слышал волчий вой

*однажды в НБК было спето:

И из груди его растут цветочки анаши :-)"
"Коллекционер оружия,  1996","Нечего делать внутри","Нечего делать внутри, я стою на пороге
Жду, когда кто-нибудь треснет мне дверью по морде
Жду, когда кто-нибудь переломает мне руки
Или попросит войти, или выгонит нафиг

Кто я такой - наркоман, алкоголик, бродяга
Женщины смотрят в глаза мне и плачут от жажды
И половина из них чтит меня как героя,
Другие же чтут как отъявленного негодяя

Знай, я хотел убежать, но мне некуда деться
Ноты и тексты ты утром получишь по почте
Я пришел с войны, распахнул шинель,
А под ней билось сердце
И это сердце никто никогда не растопчет

Флот потопили - остались одни адмиралы
На фонарях объявились хорошие люди
В день, когда стрелки сошлись, я сказал своей маме:
""Мама, твой сын - пацифист, это неизлечимо""

Вполголоса радости нет - так ори, моя глотка!
Рви тишину, как струну, своим воплем истошным,
Бей в барабаны, стреляй из зенитных орудий,
Только смотри, не забудь - за стеной спит ребенок

Знай, я хотел убежать, но мне некуда деться
Ноты и тексты ты утром получишь по почте
Я пришел с войны, распахнул шинель,
А под ней билось сердце
И это сердце никто никогда не растопчет"
"Коллекционер оружия,  1996","Иди через лес","Иди через лес
Иди через ягоды, сосновые иголки
К радуге на сердце
Я пойду за тобой, я буду искать тебя всюду
До самой до смерти

Нам сказали то, что мы одни на этой земле,
Мы поверили бы им,
Но мы услышали выстрел в той башне
Я хотел бы, чтобы это тело пело еще,
Но озера в глазах
Замерзают так быстро, мне страшно ...

Свяжи все мои нити узелком

Время поездов ушло по рельсам пешком
Время кораблей легло на дно и только волны,
Только волны над нами, только ветер и тростник
Все, что я хотел узнать, я вызнал из книг
Все, что я хотел сказать - не передать словами
Не высказать мне это чудо из чудес
Знаешь, я хотел уйти с тобою сквозь лес,
Но что-то держит меня в этом городе, на этом проспекте
Я хотел бы, чтобы тело твое пело еще
И я буду искать тебя всюду до самой, до смерти

Сколько дорог ведет из дома домой -
Об этом лишь Бог весть
Сколько камней легло вокруг нас
И вот опять кольцо
Я много курю, но сквозь сиреневый дым
Я вижу мир как он есть
Иногда я вижу твое лицо

А на зеленой траве, на зеленой траве
Не спрятать красные маки, не спрятать рисовые зерна
А на большой высоте летит самолет
И посылает нам знаки, что дождь будет скоро

Нам сказали то, что мы одни на этой земле,
И мы смотрим в небеса,
Но небо нас не слышит, небо нам не внемлет
И я хотел бы улететь с тобою на луну,
Чтобы больше никогда
Не вернуться на Землю, никогда не вернуться

Сколько дорог ведет из дома домой
Об этом лишь Бог весть
Сколько камней легло вокруг нас
И вот опять кольцо
Я много курю, но сквозь сиреневый дым
Я вижу мир как он есть
Иногда я вижу твое лицо"
